name,salary,experience,time,company,address,tags,hh_link,field
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО PepsiCo,Москва,"['Машинное обучение', 'Python', 'Прогнозирование спроса', 'Machine learning', 'Анализ данных', 'Оптимизация бизнес-процессов', 'Data Analysis', 'Алгоритмы', 'Английский\xa0— A1 — Начальный']",https://odintsovo.hh.ru/vacancy/93552240,Data Analyst
Аналитик,45000 до 60000 ₽ на руки,Требуемый опыт работы: не требуется,"Полная занятость, полный день",ООО ТЕХНОТРЕЙД,Ростов,"['Анализ данных', 'Составление отчетности', 'Мониторинг рынка', 'Анализ конкурентной среды', 'Умение планировать', 'Сбор и анализ информации', 'ВПР', 'Аналитическое мышление', 'MS Excel', 'Исследование потребительских предпочтений', 'Сводные таблицы', 'Анализ рынка', 'Анализ продаж', 'Мониторинг цен', 'Работа с базами данных', 'Поисковые системы']",https://odintsovo.hh.ru/vacancy/92927407,Data Analyst
Инженер данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ГКУ «Центр цифровой трансформации РТ»,Казань,[],https://odintsovo.hh.ru/vacancy/90862096,Data Engineer
Аналитик,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Алматы,"['SQL', 'Базы данных', 'Аналитика', 'Аналитическое мышление', 'Анализ данных', 'Анализ бизнес показателей', 'MS SQL', 'Анализ текущих финансовых показателей']",https://odintsovo.hh.ru/vacancy/93575894,Data Analyst
Аналитик данных в отделе закупа,70000 до 110000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",DNS Головной офис,Владивосток,"['Грамотная речь', 'Деловая переписка', 'Мониторинг рынка', 'Аналитическое мышление', 'Закупки', 'Анализ рынка', 'MS Excel', 'Ведение переписки', 'Деловая коммуникация', 'Навыки переговоров', 'Анализ данных', 'Английский язык', 'Анализ ценообразования', 'Анализ конкурентной среды', '1С', 'Прогнозирование', 'Анализ ассортиментной линейки', 'Анализ бизнес показателей', 'Аналитика продаж']",https://odintsovo.hh.ru/vacancy/91685472,Data Analyst
Аналитик,50000 до 70000 ₽ на руки,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Этажи Урал,Екатеринбург,"['Аналитический склад ума', 'MS Excel', 'Google таблицы', 'Работа в условиях многозадачности', 'Управленческая отчетность', 'Экономический анализ']",https://odintsovo.hh.ru/vacancy/93575937,Data Analyst
Аналитик,,Требуемый опыт работы: не требуется,"Полная занятость, полный день",Сбер для экспертов,Иркутск,[],https://odintsovo.hh.ru/vacancy/93573436,Analyst
Architect / Senior System Analyst (Обработка Данных Экосистемы),,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день",Сбер. IT,Москва,"['UML', 'BPMN']",https://odintsovo.hh.ru/vacancy/88443418,System Analyst
Data Analyst / Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Литрес,Москва,"['SQL', 'Python', 'ETL', 'Power BI', 'PostgreSQL', 'Clickhouse', 'Superset', 'Adhoc запросы']",https://odintsovo.hh.ru/vacancy/92847163,Data Analyst
Аналитик данных,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",ООО Газпром информ,Санкт,"['Анализ данных', 'P7-Офис', 'MS Excel', 'SQL', 'Сводные таблицы']",https://odintsovo.hh.ru/vacancy/93520407,Data Analyst
