,field,salary,experience,company,address,tags,job type,job hours,sql,python,анализ данных,аналитическое мышление,postgresql,etl,ms excel,аналитика,power bi,работа с большим объемом информации,работа с базами данных,системный анализ,linux,clickhouse,bpmn,data analysis,английский язык,dwh,базы данных,бизнес-анализ,ml,big data,git,ms sql,uml,machine learning,spark,airflow,hadoop,docker,kafka,аналитические исследования,сбор и анализ информации,математическая статистика,английскийb1 — средний,разработка технических заданий,английскийb2 — средне-продвинутый,rest,kubernetes,ms powerpoint,анализ бизнес показателей,tableau,data science,pandas,oracle,pytorch,nlp,постановка задач разработчикам,atlassian jira,a/b тесты
0,Data Analyst,0.0,1–3 года,ООО PepsiCo,Москва,машинное обучение python прогнозирование спроса machine learning анализ данных оптимизация бизнес-процессов data analysis алгоритмы английский\xa0— a1 — начальный,полная занятость,полный день,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Data Analyst,52500.0,не требуется,ООО ТЕХНОТРЕЙД,Ростов,анализ данных составление отчетности мониторинг рынка анализ конкурентной среды умение планировать сбор и анализ информации впр аналитическое мышление ms excel исследование потребительских предпочтений сводные таблицы анализ рынка анализ продаж мониторинг цен работа с базами данных поисковые системы,полная занятость,полный день,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Data Engineer,0.0,1–3 года,ГКУ «Центр цифровой трансформации РТ»,Казань,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Data Analyst,0.0,1–3 года,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Алматы,sql базы данных аналитика аналитическое мышление анализ данных анализ бизнес показателей ms sql анализ текущих финансовых показателей,полная занятость,полный день,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Data Analyst,90000.0,1–3 года,DNS Головной офис,Владивосток,грамотная речь деловая переписка мониторинг рынка аналитическое мышление закупки анализ рынка ms excel ведение переписки деловая коммуникация навыки переговоров анализ данных английский язык анализ ценообразования анализ конкурентной среды 1с прогнозирование анализ ассортиментной линейки анализ бизнес показателей аналитика продаж,полная занятость,полный день,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Data Analyst,60000.0,1–3 года,Этажи Урал,Екатеринбург,аналитический склад ума ms excel google таблицы работа в условиях многозадачности управленческая отчетность экономический анализ,полная занятость,полный день,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Data Analyst,0.0,не требуется,Сбер для экспертов,Иркутск,,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Data Analyst,0.0,3–6 лет,Сбер. IT,Москва,uml bpmn,полная занятость,полный день,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Data Analyst,0.0,1–3 года,Литрес,Москва,sql python etl power bi postgresql clickhouse superset adhoc запросы,полная занятость,полный день,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Data Analyst,0.0,1–3 года,ООО Газпром информ,Санкт-Петербург,анализ данных p7-офис ms excel sql сводные таблицы,полная занятость,полный день,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
